Song_Name,Key,Capo,Chord,Frequency_map_of_each_chord,BPM
Love Yourself Chords,E,4th fret,"['C', 'G/B', 'Am', 'Dm', 'F', 'G']","{'C': 56, 'G/B': 20, 'Am': 28, 'Dm': 10, 'F': 18, 'G': 24}",100 bpm
Hotel California Chords,Bm,2nd fret,"['Am', 'E7', 'G', 'D', 'F', 'C', 'Dm']","{'Am': 11, 'E7': 22, 'G': 9, 'D': 9, 'F': 13, 'C': 13, 'Dm': 11}",73 bpm
Creep Chords,G,no capo,"['G', 'B', 'C', 'Cm']","{'G': 12, 'B': 11, 'C': 11, 'Cm': 13}",92 bpm
Riptide Chords,Bbm,1st fret,"['Am', 'G', 'C', 'Fmaj7']","{'Am': 39, 'G': 39, 'C': 40, 'Fmaj7': 2}",102 bpm
Wagon Wheel Chords,A,2nd fret,"['G', 'D', 'Em', 'C']","{'G': 45, 'D': 45, 'Em': 23, 'C': 45}",148 bpm
Landslide Chords,Eb,3rd fret,"['G', 'C', 'G/B', 'Am7', 'Am', 'D7/F#', 'D/F#', 'Em']","{'G': 5, 'C': 29, 'G/B': 52, 'Am7': 27, 'Am': 3, 'D7/F#': 8, 'D/F#': 3, 'Em': 4}",80 bpm
Last Christmas Chords,D,no capo,"['D', 'Bm', 'Em', 'A']","{'D': 16, 'Bm': 15, 'Em': 17, 'A': 15}",107 bpm
Wonderwall Chords,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']","{'Em': 53, 'G': 33, 'D': 26, 'A7sus4': 19, 'C': 23}",87 bpm
Stick Season Chords,A,no capo,"['A', 'E', 'F#m', 'D']","{'A': 13, 'E': 14, 'F#m': 10, 'D': 10}",204 bpm
Love Story Chords,C,2nd fret,"['C', 'G', 'Am', 'F', 'D', 'A', 'Bm']","{'C': 14, 'G': 23, 'Am': 15, 'F': 18, 'D': 3, 'A': 3, 'Bm': 2}",119 bpm
I Will Follow You Into The Dark Chords,Am,5th fret,"['Am', 'C', 'F', 'G/B', 'G', 'E', 'Am/G', 'Fm', 'C/G', 'Am/E']","{'Am': 18, 'C': 23, 'F': 16, 'G/B': 5, 'G': 10, 'E': 4, 'Am/G': 4, 'Fm': 5, 'C/G': 10, 'Am/E': 6}",155 bpm
505 Chords,Em,no capo,"['Dm', 'Em']","{'Dm': 34, 'Em': 34}",140 bpm
Talking To The Moon Chords,C,4th fret,"['C', 'E7', 'Am', 'G', 'F', 'Dm', 'G/B', 'D']","{'C': 12, 'E7': 5, 'Am': 15, 'G': 27, 'F': 16, 'Dm': 8, 'G/B': 3, 'D': 2}",73 bpm
Its Beginning To Look A Lot Like Christmas Chords,E,2nd fret,"['Em/B', 'D', 'G', 'F#', 'Em', 'A7', 'Bm', 'A', 'E', 'B7', 'E7', 'B']","{'Em/B': 4, 'D': 23, 'G': 10, 'F#': 8, 'Em': 6, 'A7': 8, 'Bm': 4, 'A': 8, 'E': 3, 'B7': 3, 'E7': 1, 'B': 1}",94 bpm
Sparks Chords,Bbm,1st fret,"['C', 'Am7', 'Fadd9/A', 'Am', 'Ammaj7', 'C7', 'Am6', 'Fmaj7/A']","{'C': 17, 'Am7': 13, 'Fadd9/A': 5, 'Am': 10, 'Ammaj7': 6, 'C7': 5, 'Am6': 5, 'Fmaj7/A': 5}",137 bpm
Best Part Chords,D,no capo,"['Dmaj7', 'Am7', 'Gmaj7', 'Bbmaj7']","{'Dmaj7': 16, 'Am7': 16, 'Gmaj7': 16, 'Bbmaj7': 16}",75 bpm
Let It Be Chords,C,no capo,"['C', 'G', 'Am', 'Fmaj7', 'F6', 'F', 'C/E', 'Dm7', 'Am/G', 'Bb', 'F/A']","{'C': 49, 'G': 32, 'Am': 15, 'Fmaj7': 7, 'F6': 7, 'F': 27, 'C/E': 16, 'Dm7': 16, 'Am/G': 6, 'Bb': 2, 'F/A': 2}",76 bpm
While My Guitar Gently Weeps Chords,Am,no capo,"['Am', 'G', 'A', 'Am/G', 'D', 'C#m', 'F#m7b5', 'E', 'F#m', 'Fmaj7', 'C', 'Bm', 'Dsus4', 'Dsus2', 'Esus4']","{'Am': 23, 'G': 12, 'A': 5, 'Am/G': 12, 'D': 13, 'C#m': 9, 'F#m7b5': 12, 'E': 20, 'F#m': 5, 'Fmaj7': 12, 'C': 6, 'Bm': 5, 'Dsus4': 4, 'Dsus2': 4, 'Esus4': 8}",57 bpm
Here With Me Chords,E,no capo,"['E', 'G#7', 'C#m', 'Bm7', 'Amaj7', 'F#m7', 'B7', 'A', 'G#m', 'B']","{'E': 19, 'G#7': 23, 'C#m': 13, 'Bm7': 11, 'Amaj7': 11, 'F#m7': 11, 'B7': 17, 'A': 8, 'G#m': 2, 'B': 4}",65 bpm
Nothing Else Matters Chords,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']","{'Em': 32, 'D': 32, 'C': 32, 'G': 7, 'B7': 7, 'A': 11}",142 bpm
Father And Son Chords,G,no capo,"['G', 'D/F#', 'C', 'Am7', 'Em', 'Am', 'D', 'C/G', 'Bm', 'G/D']","{'G': 31, 'D/F#': 2, 'C': 15, 'Am7': 19, 'Em': 12, 'Am': 10, 'D': 21, 'C/G': 2, 'Bm': 4, 'G/D': 1}",67 bpm
Fade Into You Chords,A,no capo,"['A', 'E', 'Bm', 'D']","{'A': 31, 'E': 31, 'Bm': 31, 'D': 4}",157 bpm
Karma Police Chords,Am,no capo,"['Am', 'D/F#', 'Em', 'G', 'F', 'D', 'C', 'Em/B', 'Bm', 'F#7', 'E7']","{'Am': 16, 'D/F#': 8, 'Em': 8, 'G': 30, 'F': 4, 'D': 34, 'C': 12, 'Em/B': 4, 'Bm': 14, 'F#7': 4, 'E7': 12}",75 bpm
All Too Well Chords,C,no capo,"['C', 'G', 'Am', 'F']","{'C': 29, 'G': 34, 'Am': 31, 'F': 31}",93 bpm
Something Chords,C,no capo,"['F', 'Eb', 'G/D', 'C', 'A', 'Cmaj7', 'C7', 'F/E', 'D7', 'G', 'G/A', 'G7/B', 'Am', 'Ammaj7', 'Am7', 'D9', 'C#m/G#', 'F#m7', 'A/E', 'D']","{'F': 16, 'Eb': 8, 'G/D': 8, 'C': 8, 'A': 7, 'Cmaj7': 4, 'C7': 4, 'F/E': 4, 'D7': 4, 'G': 6, 'G/A': 4, 'G7/B': 4, 'Am': 4, 'Ammaj7': 4, 'Am7': 4, 'D9': 4, 'C#m/G#': 2, 'F#m7': 2, 'A/E': 2, 'D': 2}",66 bpm
Let It Snow Chords,Db,no capo,"['C', 'G7', 'Ebdim', 'G', 'Dm', 'A7', 'Am', 'D7', 'D', 'Fdim', 'A', 'Em', 'B7', 'Bm', 'E7', 'E', 'Gdim', 'B', 'F#m', 'C#7', 'C#m', 'F#7', 'F', 'C7', 'Abdim', 'Gm', 'A#dim', 'Cdim']","{'C': 27, 'G7': 10, 'Ebdim': 4, 'G': 27, 'Dm': 9, 'A7': 15, 'Am': 9, 'D7': 15, 'D': 27, 'Fdim': 4, 'A': 27, 'Em': 9, 'B7': 15, 'Bm': 9, 'E7': 15, 'E': 27, 'Gdim': 4, 'B': 11, 'F#m': 9, 'C#7': 5, 'C#m': 1, 'F#7': 7, 'F': 16, 'C7': 8, 'Abdim': 4, 'Gm': 8, 'A#dim': 4, 'Cdim': 4}",NF
A Thousand Years Chords,Bb,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']","{'G': 12, 'Em7': 17, 'Cadd9': 14, 'D': 21, 'Am': 4}",139 bpm
The Night We Met Chords,F#m,2nd fret,"['Em', 'D', 'G', 'C']","{'Em': 25, 'D': 8, 'G': 25, 'C': 17}",58 bpm
Frozen - Let It Go Chords,G,1st fret,"['Em', 'C', 'D', 'Asus4', 'Am', 'A', 'Cadd9', 'G', 'D/F#', 'Em7', 'Bm7', 'Bb', 'Cm']","{'Em': 7, 'C': 13, 'D': 12, 'Asus4': 4, 'Am': 4, 'A': 3, 'Cadd9': 12, 'G': 10, 'D/F#': 10, 'Em7': 9, 'Bm7': 3, 'Bb': 3, 'Cm': 1}",68 bpm
You Belong With Me Chords,F#,4th fret,"['D', 'A', 'Em', 'G']","{'D': 21, 'A': 17, 'Em': 17, 'G': 17}",130 bpm
How Deep Is Your Love Chords,Eb,1st fret,"['D', 'Dmaj7', 'Gmaj7', 'G/A', 'F#m7', 'Em7', 'B7', 'F#7', 'Bm7', 'C9', 'Gm6', 'Am/C']","{'D': 23, 'Dmaj7': 7, 'Gmaj7': 10, 'G/A': 13, 'F#m7': 13, 'Em7': 17, 'B7': 8, 'F#7': 3, 'Bm7': 3, 'C9': 3, 'Gm6': 10, 'Am/C': 5}",105 bpm
What A Wonderful World Chords,F,5th fret,"['C', 'Em', 'F', 'Dm', 'E7', 'Am', 'Ab', 'Dm7', 'G', 'Bb7', 'A7', 'Fmaj7']","{'C': 13, 'Em': 9, 'F': 4, 'Dm': 4, 'E7': 3, 'Am': 5, 'Ab': 3, 'Dm7': 4, 'G': 8, 'Bb7': 1, 'A7': 1, 'Fmaj7': 1}",72 bpm
Mary Did You Know Chords,Am,no capo,"['Am', 'G', 'Dm7', 'Esus', 'E', 'C', 'G/B', 'F', 'E7sus', 'E7']","{'Am': 14, 'G': 14, 'Dm7': 15, 'Esus': 12, 'E': 13, 'C': 4, 'G/B': 4, 'F': 2, 'E7sus': 1, 'E7': 1}",NF
Bad Habit Chords,Eb,no capo,"['A#m9', 'D#6', 'C#maj7', 'D#9', 'Amaj7', 'Gm7b5', 'Fm9']","{'A#m9': 22, 'D#6': 38, 'C#maj7': 35, 'D#9': 6, 'Amaj7': 21, 'Gm7b5': 14, 'Fm9': 7}",84 bpm
The Loneliest Chords,D,2nd fret,"['C', 'Em', 'Am', 'G', 'Dm', 'E', 'F', 'Em/B', 'Cadd9']","{'C': 16, 'Em': 8, 'Am': 14, 'G': 12, 'Dm': 2, 'E': 6, 'F': 4, 'Em/B': 2, 'Cadd9': 1}",65 bpm
More Than Words Chords,F#,no capo,"['G', 'Cadd9', 'Am7', 'C', 'D', 'Em', 'D/F#', 'D7', 'G7', 'Cm', 'Em7', 'Bm', 'G/B']","{'G': 25, 'Cadd9': 7, 'Am7': 17, 'C': 18, 'D': 9, 'Em': 6, 'D/F#': 6, 'D7': 8, 'G7': 3, 'Cm': 2, 'Em7': 4, 'Bm': 4, 'G/B': 4}",85 bpm
Vienna Chords,Bb,no capo,"['Gm', 'Bb', 'F', 'Ab', 'Eb', 'C', 'D9sus', 'D', 'Am', 'Dm/A', 'Bb/F', 'Am7', 'D7', 'Gm7', 'C7', 'Gb7', 'G7']","{'Gm': 9, 'Bb': 19, 'F': 14, 'Ab': 5, 'Eb': 13, 'C': 2, 'D9sus': 5, 'D': 5, 'Am': 3, 'Dm/A': 4, 'Bb/F': 4, 'Am7': 4, 'D7': 4, 'Gm7': 4, 'C7': 4, 'Gb7': 5, 'G7': 1}",63 bpm
I Wanna Be Yours Chords,Cm,no capo,"['Cm', 'Fm', 'Gm', 'Bb', 'Ab']","{'Cm': 21, 'Fm': 16, 'Gm': 16, 'Bb': 10, 'Ab': 10}",68 bpm
I Want It That Way Chords,F#m,2nd fret,"['Em', 'C', 'G', 'D', 'Bm', 'G/D', 'Am', 'E', 'F#m', 'A']","{'Em': 25, 'C': 22, 'G': 20, 'D': 25, 'Bm': 1, 'G/D': 2, 'Am': 1, 'E': 13, 'F#m': 10, 'A': 7}",99 bpm
Rockin Around The Christmas Tree Chords,Ab,1st fret,"['G', 'Em', 'C', 'D', 'D7', 'Am7', 'Bm', 'Emmaj7', 'Em7', 'A7', 'Am']","{'G': 13, 'Em': 5, 'C': 6, 'D': 2, 'D7': 23, 'Am7': 13, 'Bm': 3, 'Emmaj7': 3, 'Em7': 3, 'A7': 3, 'Am': 2}",141 bpm
The Scientist Chords,Dm,3rd fret,"['Bm7', 'G', 'D', 'Dsus2', 'A/D', 'D6/9', 'A/E', 'Asus4', 'A', 'Dmaj7', 'Dsus2/C#']","{'Bm7': 13, 'G': 19, 'D': 24, 'Dsus2': 12, 'A/D': 3, 'D6/9': 3, 'A/E': 3, 'Asus4': 3, 'A': 3, 'Dmaj7': 2, 'Dsus2/C#': 2}",73 bpm
We Wish You A Merry Christmas Chords,C,no capo,"['C', 'F', 'D', 'G', 'E7', 'Am', 'Em']","{'C': 14, 'F': 10, 'D': 4, 'G': 14, 'E7': 4, 'Am': 6, 'Em': 2}",150 bpm
Dandelions Chords,Bbm,6th fret,"['C', 'Em', 'G', 'D']","{'C': 36, 'Em': 35, 'G': 35, 'D': 35}",78 bpm
Joy To The World Chords,G,no capo,"['G', 'D', 'C']","{'G': 28, 'D': 16, 'C': 8}",100 bpm
Snap Chords,Am,no capo,"['Am', 'F', 'C', 'G', 'G/B']","{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G/B': 18}",85 bpm
Tears In Heaven Chords,A,no capo,"['A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'E7sus4', 'E7', 'E', 'C#/E#', 'A7/E', 'F#7', 'Bm7', 'Bm7/E', 'E7sus', 'C', 'G/B', 'Am', 'G', 'Em']","{'A': 22, 'E/G#': 6, 'F#m': 16, 'A/E': 18, 'D/F#': 16, 'E7sus4': 3, 'E7': 5, 'E': 13, 'C#/E#': 4, 'A7/E': 4, 'F#7': 4, 'Bm7': 5, 'Bm7/E': 5, 'E7sus': 1, 'C': 2, 'G/B': 2, 'Am': 2, 'G': 3, 'Em': 1}",80 bpm
A Horse With No Name Chords,Em,no capo,"['Em', 'D6/9', 'Em9', 'Dmaj9']","{'Em': 24, 'D6/9': 24, 'Em9': 24, 'Dmaj9': 24}",123 bpm
Here Comes The Sun Chords,A,7th fret,"['D', 'G', 'A7', 'E7', 'F', 'C', 'G/B', 'A7sus4']","{'D': 22, 'G': 14, 'A7': 11, 'E7': 5, 'F': 1, 'C': 1, 'G/B': 1, 'A7sus4': 1}",129 bpm
Something In The Orange Chords,G,no capo,"['Em', 'G', 'D/F#', 'Cadd9', 'D']","{'Em': 29, 'G': 28, 'D/F#': 12, 'Cadd9': 14, 'D': 15}",166 bpm
Take Me Home Country Roads Chords,A,2nd fret,"['G', 'Em', 'D', 'C', 'F', 'D7']","{'G': 25, 'Em': 10, 'D': 17, 'C': 14, 'F': 1, 'D7': 1}",164 bpm
House Of The Rising Sun Chords,Am,no capo,"['Am', 'C', 'D', 'F', 'E', 'C/E', 'E7', 'F7', 'Dm']","{'Am': 57, 'C': 28, 'D': 22, 'F': 21, 'E': 27, 'C/E': 1, 'E7': 2, 'F7': 1, 'Dm': 5}",234 bpm
Nothing Compares 2 U Chords,C,no capo,"['C', 'G/B', 'Am', 'G', 'Am7', 'E', 'Bb', 'F', 'Fsus4', 'Em']","{'C': 21, 'G/B': 13, 'Am': 11, 'G': 18, 'Am7': 9, 'E': 4, 'Bb': 8, 'F': 9, 'Fsus4': 1, 'Em': 3}",NF
The 30Th Chords,G,no capo,"['G', 'D', 'Em', 'Am', 'C', 'Cm', 'B7']","{'G': 24, 'D': 17, 'Em': 23, 'Am': 8, 'C': 12, 'Cm': 3, 'B7': 7}",72 bpm
Somewhere Only We Know Chords,C,no capo,"['C', 'Em', 'Dm', 'G', 'F', 'Am']","{'C': 15, 'Em': 17, 'Dm': 21, 'G': 20, 'F': 16, 'Am': 6}",86 bpm
Santa Tell Me Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Bm', 'Eb', 'F#m']","{'G': 26, 'C': 25, 'Em': 14, 'D': 16, 'Bm': 2, 'Eb': 1, 'F#m': 1}",NF
When I Was Your Man Chords,C,no capo,"['D7', 'Dm7', 'C', 'G/B', 'Am', 'Dm', 'G', 'G7', 'Em/B', 'Em', 'Bb', 'C/G', 'F', 'Fm', 'Em/G']","{'D7': 7, 'Dm7': 3, 'C': 22, 'G/B': 2, 'Am': 10, 'Dm': 4, 'G': 17, 'G7': 2, 'Em/B': 5, 'Em': 2, 'Bb': 2, 'C/G': 2, 'F': 15, 'Fm': 4, 'Em/G': 1}",73 bpm
God Rest Ye Merry Gentlemen Chords,Em,no capo,"['Em', 'C', 'B7', 'Am', 'G', 'D']","{'Em': 25, 'C': 10, 'B7': 20, 'Am': 5, 'G': 15, 'D': 10}",NF
All I Ask Chords,C,4th fret,"['C', 'Em', 'F', 'G', 'E', 'E/G#', 'Am', 'C/G', 'Dm', 'Dm7/G', 'A7', 'A7/C#', 'F/G', 'G7', 'G/B', 'C/E', 'Dm7', 'C/Bb', 'G/F', 'E/B', 'Ab7sus4', 'Db', 'Bb7', 'Bb/D', 'Ebm', 'Gb/Ab', 'Ab7', 'Ab7/C', 'Ab/C', 'Bbm7', 'Db/F']","{'C': 13, 'Em': 6, 'F': 7, 'G': 6, 'E': 3, 'E/G#': 3, 'Am': 5, 'C/G': 2, 'Dm': 7, 'Dm7/G': 2, 'A7': 4, 'A7/C#': 4, 'F/G': 8, 'G7': 5, 'G/B': 6, 'C/E': 2, 'Dm7': 3, 'C/Bb': 1, 'G/F': 1, 'E/B': 1, 'Ab7sus4': 2, 'Db': 4, 'Bb7': 2, 'Bb/D': 2, 'Ebm': 3, 'Gb/Ab': 3, 'Ab7': 2, 'Ab7/C': 2, 'Ab/C': 1, 'Bbm7': 1, 'Db/F': 1}",NF
Fly Me To The Moon Chords,Am,no capo,"['Am', 'Dm7', 'G7', 'Cmaj7', 'F', 'Dm', 'E7', 'A7', 'C', 'E', 'Fm', 'Em', 'G']","{'Am': 11, 'Dm7': 13, 'G7': 13, 'Cmaj7': 4, 'F': 4, 'Dm': 4, 'E7': 3, 'A7': 4, 'C': 7, 'E': 4, 'Fm': 1, 'Em': 1, 'G': 1}",NF
Where Is My Mind Chords,E,no capo,"['E', 'C#m', 'G#', 'A', 'Am', 'B']","{'E': 25, 'C#m': 25, 'G#': 25, 'A': 25, 'Am': 3, 'B': 3}",81 bpm
When The Partys Over Chords,A,4th fret,"['F', 'Am', 'C', 'Dm', 'G', 'F#dim']","{'F': 34, 'Am': 20, 'C': 21, 'Dm': 8, 'G': 2, 'F#dim': 1}",124 bpm
Banana Pancakes Chords,G,no capo,"['G7', 'D7', 'Am7', 'C7', 'D', 'Bm', 'Em', 'G', 'D9', 'Em/D#', 'C']","{'G7': 10, 'D7': 2, 'Am7': 27, 'C7': 16, 'D': 3, 'Bm': 2, 'Em': 2, 'G': 17, 'D9': 12, 'Em/D#': 1, 'C': 1}",114 bpm
Anti-Hero Chords,E,no capo,"['A', 'E', 'B', 'C#m']","{'A': 39, 'E': 39, 'B': 39, 'C#m': 39}",97 bpm
Peaceful Easy Feeling Chords,E,2nd fret,"['D', 'Dsus4', 'G', 'A7', 'Em']","{'D': 47, 'Dsus4': 8, 'G': 41, 'A7': 24, 'Em': 13}",143 bpm
